SpeciesLocID,Genus,Species,Locality,Sex,Depth,TPS_ID,Csize
Tropheops_lilac-MU,Tropheops,lilac,Mumbo Island,U,S,TrLiMu01-OJ,17061.13
Tropheops_lilac-MU,Tropheops,lilac,Mumbo Island,U,S,TrliMu28-OJ,16952.33
Tropheops_lilac-MU,Tropheops,lilac,Mumbo Island,U,S,TrLiMu29-OJ,17264.63
Tropheops_lilac-MZ,Tropheops,lilac,Mazinzi Reef,M,S,TrliMz011656-OJ,18688.71
Tropheops_microstoma-OP,Tropheops,microstoma,Otter Island,U,D,TrMi010322-OJ,13385.25
Tropheops_orange_chest-TW,Tropheops,orange chest,Thumbi West,U,S,TrOC010303-OJ,16763.84
Tropheops_orange_chest-TW,Tropheops,orange chest,Thumbi West,U,S,TrOC010304-OJ,12633.94
Tropheops_orange_chest-TW,Tropheops,orange chest,Thumbi West,U,S,TrOC010307-OJ,15841.51
Tropheops_orange_chest-ER,Tropheops,orange chest,Eccles Reef,U,S,TrOC010376-OJ,20739.98
Tropheops_red_cheek-TW,Tropheops,red cheek,Thumbi West,U,S,TrRC010160-OJ,15136.53
Tropheops_red_cheek-TW,Tropheops,red cheek,Thumbi West,U,S,TrRC010161-OJ,12739.85
Tropheops_red_cheek-TW,Tropheops,red cheek,Thumbi West,U,S,TrRC010163-OJ,15089.96
Tropheops_white_dorsal-NM,Tropheops,white dorsal,Nanthumbi,U,S,TrWD010398-OJ,14394.96
Tropheops_zimbawe-ZR,Tropheops,zimbawe rock,Zimbawe Rock,M,S,TrZr011115-OJ,20570.26
Tropheops_zimbawe-ZR,Tropheops,zimbawe rock,Zimbawe Rock,M,S,TrZR011118-OJ,23264.99
Tropheops_zimbawe-ZR,Tropheops,zimbawe rock,Zimbawe Rock,M,S,TrZR011121-OJ,21779.22
