TaxaID,TPSID,Lake,Clade,Csize,PC1,PC2,PC3,PC4,PC5
Limnotilapia_dardennii,Limdar_LPJ,T,T,20.89596,-0.007026262,-0.051290504,-0.014573792,0.047083929,-0.001666281
Lobochilotes_labiatus,Loblab_LPJ,T,T,24.735478,0.048208508,-0.040683609,-0.036739948,0.022606147,0.02879918
Maylandia_aurora,Mayaur-25_LPJ,M,M,10.03019601,-0.014756724,0.022452744,-0.024354041,-0.027880719,0.005213074
Maylandia_aurora,Mayaur-26_LPJ,M,M,11.04394167,-0.022767751,-0.058880993,0.016689714,-0.028756539,-0.017533885
Maylandia_aurora,Mayaur-28_LPJ,M,M,10.54414001,0.001887645,-0.069431822,-0.010769173,-0.028816117,-0.013386873
Maylandia_barlowi,Maybar-01_LPJ,M,M,10.92090189,0.006045692,-0.046610312,-0.010767096,-0.017486925,-0.021999613
Maylandia_barlowi,Maybar-1593_LPJ,M,M,12.38732171,0.01105241,-0.047193453,-0.017321028,-0.047039624,-0.000820179
Maylandia_barlowi,Maybar-1600_LPJ,M,M,11.9983722,-0.016783228,-0.055313192,0.011038204,-0.024463506,-0.020129954
Maylandia_benetos,Mayben-1603_LPJ,M,M,12.39690117,-0.008244857,-0.035642589,-0.013233374,-0.030959473,-0.001274853
Maylandia_benetos,Mayben-1604_LPJ,M,M,11.9637028,-0.00190921,-0.037684711,-0.026941339,-0.014096396,-0.014911681
Maylandia_benetos,Mayben-1605_LPJ,M,M,11.91520895,0.011656249,-0.0263527,-0.002021939,-0.024147141,-0.006138704
Maylandia_benetos,Mayben-1609_LPJ,M,M,10.30626276,-0.019323545,-0.033035804,0.004645887,-0.031712166,-0.005840168
Maylandia_koningsi,Maykon_LPJ,M,M,9.484003,0.012639121,-0.05085377,-0.028010288,-0.013234155,-0.012284694
Maylandia_mbenjii,Maymbe_LPJ,M,M,9.493502,0.008408308,-0.029664079,0.006534719,-0.011397426,0.004953457
Maylandia_zebra,MayzebMU-03_LPJ,M,M,10.23389534,0.035971981,-0.021003355,0.028538151,-0.04798808,-0.013197199
Maylandia_zebra,MayzebMU-07_LPJ,M,M,12.40257111,-0.015856137,-0.002607616,-0.015234299,-0.002228213,-0.005279969
Maylandia_zebra,MayzebMU-19_LPJ,M,M,13.23332531,-0.034411825,-0.017869276,-0.016385455,-0.023205362,0.017997144
Mbipia_mbipi,Mbimbi_LPJ,V,V,14.488319,-0.017996102,-0.023861765,0.029687403,-0.005210241,-0.00032528
Melanochromis_auratus,Melaur_LPJ,M,M,8.643881,0.006800136,-0.006785023,0.014954367,-0.007562749,0.036382003
Melanochromis_melanopterus,Melmel_LPJ,M,M,11.282287,0.018037879,0.02004613,0.014237856,0.020463852,0.009580398
Mylochromis_lateristriga,Myllat_LPJ,M,U,19.900193,0.054929935,-0.041099575,0.009292324,-0.001087505,0.03675058
Naevochromis_chrysogaster,Naechr_LPJ,M,U,20.982196,0.060062192,0.085604795,0.033916891,0.014699297,0.008041506
Nanochromis_nudiceps,Nannud_LPJ,A,A,4.213203,-1.83E-05,0.106984277,-0.080294115,0.002559223,0.050492827
Nimbochromis_linni,Nimlin_LPJ,M,U,17.50280632,0.049090402,0.090123354,0.025298273,0.000544253,-0.033525846
Orthochromis_malagaraziensis,Ortmal_LPJ,T,T,7.31028,0.059766907,0.030213355,-0.008012792,-0.005662071,-0.034431486
Otopharynx_lithobates,Ottlit_LPJ,M,U,9.57763,0.027305951,0.035305134,-0.002998616,-0.022708282,0.006071817
Parananochromis_longirostris,Parlon_LPJ,A,A,15.037476,0.023263608,0.105591728,-0.046804303,0.005161898,0.00285227
Pelmatochromis_buettikoferi,Pelbue_LPJ,A,A,11.182976,0.071677207,0.064051561,-0.029130549,0.016501574,0.006841056
Pelvicachromis_pulcher,Pelpul_LPJ,A,A,5.635173,0.004101255,0.101508065,-0.060219217,-0.017506473,0.025984631
Perissodus_microlepis,Permin_LPJ,T,T,10.100721,-0.002171822,0.039265342,-0.006044317,-0.015529435,-0.082288364
Petrotilapia_nigra,Petnig_LPJ,M,M,18.49658357,0.015556167,-0.062244172,-0.030531752,-0.026956063,-0.017365457
Petrochromis_polyodon,Petpol_LPJ,T,T,26.493222,0.030523723,-0.054866766,-0.02693345,0.023113899,-0.019292492
Pseudosimochromis_curvifrons,Psecur_LPJ,T,T,12.390978,-0.048967736,-0.032392673,0.046489948,0.068867662,-0.022230383
Pungu_maclareni,Punmac_LPJ,A,A,12.196948,-0.032602858,-0.066859685,0.008753657,0.039192233,0.038956326
Reganochromis_calliurus,Regcal_LPJ,T,T,4.668345,-0.071997975,0.079534133,0.01045897,0.006453802,0.001616643
Sciaenochromis_ahli,Sciahl_LPJ,M,U,13.989957,-0.092931472,0.082947923,-0.002212717,0.015227381,0.007049933
Simochromis_diagramma,Simdia_LPJ,T,T,15.047849,0.096556737,-0.010254429,-0.019453705,0.025606182,-0.002161166
Stomatepia_mariae,Stomar_LPJ,A,A,11.25084,-0.154603702,-0.026234916,-0.032317502,0.051922278,0.017263186
Taeniolethrinops_praeorbitalis,Taepra_LPJ,M,U,29.686089,-0.090251504,0.015607757,-0.056644458,0.022891582,-0.010653781
Tangachromis_dhanisi,Tandha_LPJ,T,T,9.411083,-0.079481351,0.045814494,0.012807281,0.056518634,-0.003261674
Telmatochromis_temporalis,Teltem_LPJ,T,T,7.533395,0.149271827,-0.029457688,0.000396319,0.04036572,0.044495972
Haplochromis_wingatii,Thowin_LPJ,V,V,15.544726,0.054734309,-0.024641677,0.02830705,0.02117428,0.064085975
Thysochromis_ansorgii,Thyans_LPJ,A,A,12.098974,0.094019626,0.071796425,-0.023295448,0.003292912,0.025112053
Tilapia_sparrmanii,Tilspa_LPJ,A,A,16.051751,0.055376902,-0.036138468,-0.025720665,0.038943909,0.017914632
