Species,Individual,Tissue,Gene,Cq,DateRun
Lfuelleborni,4,CF,BACTIN,17.6107994,20201012
Lfuelleborni,4,CF,BACTIN,19.42660153,20201012
Lfuelleborni,4,OJ,BACTIN,21.29368016,20201012
Lfuelleborni,4,OJ,BACTIN,20.30499843,20201012
Lfuelleborni,4,OJ,BACTIN,22.11744365,20201012
Lfuelleborni,4,PJ,BACTIN,21.82110897,20201012
Lfuelleborni,4,PJ,BACTIN,21.01702377,20201012
Lfuelleborni,4,PJ,BACTIN,23.60939487,20201012
Lfuelleborni,4,CF,DYM,34.28220712,20201012
Lfuelleborni,4,CF,DYM,32.82854288,20201012
Lfuelleborni,4,CF,DYM,32.57182986,20201012
Lfuelleborni,4,OJ,DYM,36.11443963,20201012
Lfuelleborni,4,OJ,DYM,35.95999634,20201012
Lfuelleborni,4,OJ,DYM,35.90103286,20201012
Lfuelleborni,4,PJ,DYM,37.26222218,20201012
Lfuelleborni,4,PJ,DYM,35.26124689,20201012
Lfuelleborni,4,PJ,DYM,NA,20201012
Lfuelleborni,4,CF,NOTCH1A,1,20201020
Lfuelleborni,4,CF,NOTCH1A,NA,20201020
Lfuelleborni,4,CF,NOTCH1A,NA,20201020
Lfuelleborni,4,OJ,NOTCH1A,36.80356354,20201020
Lfuelleborni,4,OJ,NOTCH1A,NA,20201020
Lfuelleborni,4,OJ,NOTCH1A,NA,20201020
Lfuelleborni,4,PJ,NOTCH1A,1,20201020
Lfuelleborni,4,PJ,NOTCH1A,NA,20201020
Lfuelleborni,4,PJ,NOTCH1A,NA,20201020
Lfuelleborni,4,CF,SMAD7,30.05499281,20201019
Lfuelleborni,4,CF,SMAD7,27.88680341,20201019
Lfuelleborni,4,CF,SMAD7,NA,20201019
Lfuelleborni,4,OJ,SMAD7,NA,20201019
Lfuelleborni,4,OJ,SMAD7,34.67900702,20201019
Lfuelleborni,4,OJ,SMAD7,34.96376539,20201019
Lfuelleborni,4,PJ,SMAD7,34.30670697,20201019
Lfuelleborni,4,PJ,SMAD7,NA,20201019
Lfuelleborni,4,PJ,SMAD7,NA,20201019
Lfuelleborni,5,CF,BACTIN,14.612178,20201012
Lfuelleborni,5,CF,BACTIN,14.893072,20201012
Lfuelleborni,5,CF,BACTIN,14.78132612,20201012
Lfuelleborni,5,OJ,BACTIN,15.88459216,20201012
Lfuelleborni,5,OJ,BACTIN,17.47515173,20201012
Lfuelleborni,5,OJ,BACTIN,17.06593809,20201012
Lfuelleborni,5,PJ,BACTIN,15.23987203,20201012
Lfuelleborni,5,PJ,BACTIN,15.43602278,20201012
Lfuelleborni,5,PJ,BACTIN,15.46173741,20201012
Lfuelleborni,5,CF,DYM,30.15645935,20201012
Lfuelleborni,5,CF,DYM,29.98516014,20201012
Lfuelleborni,5,CF,DYM,30.02399961,20201012
Lfuelleborni,5,OJ,DYM,33.52250944,20201012
Lfuelleborni,5,OJ,DYM,31.76127527,20201012
Lfuelleborni,5,OJ,DYM,31.94968928,20201012
Lfuelleborni,5,PJ,DYM,30.99799063,20201012
Lfuelleborni,5,PJ,DYM,30.87259345,20201012
Lfuelleborni,5,PJ,DYM,31.58080467,20201012
Lfuelleborni,5,CF,NOTCH1A,31.81748867,20201012
Lfuelleborni,5,CF,NOTCH1A,32.52790768,20201012
Lfuelleborni,5,CF,NOTCH1A,30.18487231,20201012
Lfuelleborni,5,OJ,NOTCH1A,NA,20201012
Lfuelleborni,5,OJ,NOTCH1A,38,20201012
Lfuelleborni,5,OJ,NOTCH1A,38.38483572,20201012
Lfuelleborni,5,PJ,NOTCH1A,32.48325925,20201012
Lfuelleborni,5,PJ,NOTCH1A,32.14982025,20201012
Lfuelleborni,5,PJ,NOTCH1A,31.06891875,20201012
Lfuelleborni,5,CF,SMAD7,32.04650468,20201012
Lfuelleborni,5,CF,SMAD7,30.90414511,20201012
Lfuelleborni,5,CF,SMAD7,31.25580248,20201012
Lfuelleborni,5,OJ,SMAD7,35.70513874,20201012
Lfuelleborni,5,OJ,SMAD7,35.32211444,20201012
Lfuelleborni,5,OJ,SMAD7,33.69610919,20201012
Lfuelleborni,5,PJ,SMAD7,32.3740926,20201012
Lfuelleborni,5,PJ,SMAD7,30.64313629,20201012
Lfuelleborni,5,PJ,SMAD7,30.43113978,20201012
Lfuelleborni,6,CF,BACTIN,14.65158078,20201012
Lfuelleborni,6,CF,BACTIN,14.8944359,20201012
Lfuelleborni,6,CF,BACTIN,14.56259515,20201012
Lfuelleborni,6,OJ,BACTIN,14.32244363,20201012
Lfuelleborni,6,OJ,BACTIN,14.53649143,20201012
Lfuelleborni,6,OJ,BACTIN,14.46401057,20201012
Lfuelleborni,6,PJ,BACTIN,15.34811355,20201012
Lfuelleborni,6,PJ,BACTIN,15.39255133,20201012
Lfuelleborni,6,PJ,BACTIN,15.62681468,20201012
Lfuelleborni,6,CF,DYM,30.53692589,20201012
Lfuelleborni,6,CF,DYM,30.78072794,20201012
Lfuelleborni,6,CF,DYM,30.37026063,20201012
Lfuelleborni,6,OJ,DYM,30.20942812,20201012
Lfuelleborni,6,OJ,DYM,30.0473695,20201012
Lfuelleborni,6,OJ,DYM,29.62366134,20201012
Lfuelleborni,6,PJ,DYM,32.08295496,20201012
Lfuelleborni,6,PJ,DYM,31.43399695,20201012
Lfuelleborni,6,PJ,DYM,31.57735442,20201012
